x,y,z
177955.13,530898.48,22.6
177955.13,530808.48,35.27
177955.13,530718.48,48.14
177955.13,530628.48,55.06
177955.13,530538.48,53
177955.13,530448.48,44.93
177955.13,530358.48,33.51
177955.13,530268.48,22.56
177955.13,530178.48,17.1
177955.13,530088.48,17.86
177955.13,529998.48,20.06
177955.13,529908.48,19.7
177955.13,529818.48,17.52
177955.13,529728.48,15.29
177955.13,529638.48,14.15
177955.13,529548.48,14.36
177955.13,529458.48,15.45
177955.13,529368.48,16.86
177955.13,529278.48,20.33
177955.13,529188.48,28.51
177955.13,529098.48,38.03
177955.13,529008.48,38.94
177955.13,528918.48,29.15
177955.13,528828.48,19.22
177955.13,528738.48,14.27
177955.13,528648.48,11.24
177955.13,528558.48,8.17
177955.13,528468.48,6.09
177955.13,528378.48,5.95
177955.13,528288.48,6.53
177955.13,528198.48,6.61
177955.13,528108.48,5.98
177955.13,528018.48,5.2
177955.13,527928.48,4.95
177955.13,527838.48,5.36
177955.13,527748.48,5.77
177955.13,527658.48,5.69
177955.13,527568.48,5.46
177955.13,527478.48,5.33
177955.13,527388.48,5.22
177955.13,527298.48,5.14
177955.13,527208.48,5.09
177955.13,527118.48,5.07
177955.13,527028.48,5.08
177955.13,526938.48,5.12
177955.13,526848.48,5.15
177955.13,526758.48,5.17
177955.13,526668.48,5.17
177955.13,526578.48,5.11
177955.13,526488.48,4.99
177955.13,526398.48,4.86
177955.13,526308.48,4.75
177955.13,526218.48,5.03
177955.13,526128.48,6.87
177955.13,526038.48,10.17
177955.13,525948.48,12.3
177955.13,525858.48,10.98
177955.13,525768.48,8.33
177955.13,525678.48,7.98
177955.13,525588.48,9.12
177955.13,525498.48,9.88
177955.13,525408.48,9.17
177955.13,525318.48,7.94
177955.13,525228.48,6.87
177955.13,525138.48,6.08
177955.13,525048.48,5.5
177955.13,524958.48,5.39
177955.13,524868.48,5.54
177955.13,524778.48,5.54
177955.13,524688.48,5.48
177955.13,524598.48,5.32
177955.13,524508.48,5.24
177955.13,524418.48,5.28
177955.13,524328.48,5.42
177955.13,524238.48,5.57
177955.13,524148.48,5.55
177955.13,524058.48,5.54
177955.13,523968.48,7.12
177955.13,523878.48,12.5
177955.13,523788.48,18.98
177955.13,523698.48,21.24
177955.13,523608.48,20.03
177955.13,523518.48,17.77
177955.13,523428.48,15.69
177955.13,523338.48,12.69
177955.13,523248.48,8.32
177955.13,523158.48,6.14
177955.13,523068.48,5.76
177955.13,522978.48,5.65
177955.13,522888.48,5.36
177955.13,522798.48,4.87
177955.13,522708.48,4.27
177955.13,522618.48,3.77
177955.13,522528.48,3.47
177955.13,522438.48,3.33
177955.13,522348.48,3.11
177955.13,522258.48,2.31
177955.13,522168.48,1.09
177955.13,522078.48,0.31
177955.13,521988.48,0.15
177955.13,521898.48,0.16
177955.13,521808.48,0.16
177955.13,521718.48,0.16
177955.13,521628.48,0.16
177955.13,521538.48,0.15
177955.13,521448.48,0.15
177955.13,521358.48,0.14
177955.13,521268.48,0.13
177955.13,521178.48,0.13
177955.13,521088.48,0.12
177955.13,520998.48,0.12
177955.13,520908.48,0.11
177955.13,520818.48,0.11
177955.13,520728.48,0.11
177955.13,520638.48,0.12
177955.13,520548.48,0.12
177955.13,520458.48,0.13
177955.13,520368.48,0.15
177955.13,520278.48,0.18
177955.13,520188.48,0.19
177955.13,520098.48,0.2
177955.13,520008.48,0.22
177955.13,519918.48,0.23
177955.13,519828.48,0.26
177955.13,519738.48,0.31
177955.13,519648.48,0.37
177955.13,519558.48,0.4
177955.13,519468.48,0.49
177955.13,519378.48,0.6
177955.13,519288.48,0.65
177955.13,519198.48,0.7
177955.13,519108.48,0.86
177955.13,519018.48,1.07
177955.13,518928.48,1.19
177955.13,518838.48,1.29
177955.13,518748.48,1.4
177955.13,518658.48,1.46
177955.13,518568.48,1.45
177955.13,518478.48,1.5
177955.13,518388.48,1.75
177955.13,518298.48,2.08
177955.13,518208.48,2.3
177955.13,518118.48,2.4
177955.13,518028.48,2.46
177955.13,517938.48,2.44
177955.13,517848.48,2.35
177955.13,517758.48,2.17
177955.13,517668.48,2
177955.13,517578.48,2.11
177955.13,517488.48,2.49
177955.13,517398.48,2.96
177955.13,517308.48,3.93
177955.13,517218.48,5.91
177955.13,517128.48,9.03
177955.13,517038.48,12.05
177955.13,516948.48,12.14
177955.13,516858.48,8.49
177955.13,516768.48,4.91
178045.13,544488.48,11.17
178045.13,544398.48,11.36
178045.13,544308.48,11.58
178045.13,544218.48,11.93
178045.13,544128.48,12.28
178045.13,544038.48,12.41
178045.13,543948.48,12.44
178045.13,543858.48,12.5
178045.13,543768.48,12.52
178045.13,543678.48,12.43
178045.13,543588.48,12.3
178045.13,543498.48,12.49
178045.13,543408.48,12.97
178045.13,543318.48,13.5
178045.13,543228.48,14.39
178045.13,543138.48,15.72
178045.13,543048.48,16.73
178045.13,542958.48,16.98
178045.13,542868.48,16.99
178045.13,542778.48,17.15
178045.13,542688.48,17.49
178045.13,542598.48,18.1
178045.13,542508.48,19.37
178045.13,542418.48,20.8
178045.13,542328.48,21.65
178045.13,542238.48,22.59
178045.13,542148.48,24.2
178045.13,542058.48,25.91
178045.13,541968.48,27.02
178045.13,541878.48,27.62
178045.13,541788.48,28.28
178045.13,541698.48,29.35
178045.13,541608.48,30.72
178045.13,541518.48,31.87
178045.13,541428.48,32.69
178045.13,541338.48,33.75
178045.13,541248.48,35.18
178045.13,541158.48,36.67
178045.13,541068.48,38
178045.13,540978.48,39.12
178045.13,540888.48,40.48
178045.13,540798.48,41.86
178045.13,540708.48,42.33
178045.13,540618.48,41.74
178045.13,540528.48,40.04
178045.13,540438.48,37.25
178045.13,540348.48,34.2
178045.13,540258.48,31.97
178045.13,540168.48,30.58
178045.13,540078.48,29.37
178045.13,539988.48,27.45
178045.13,539898.48,24.3
178045.13,539808.48,21.02
178045.13,539718.48,19.42
178045.13,539628.48,19.06
178045.13,539538.48,22.44
178045.13,539448.48,32.7
178045.13,539358.48,42.5
178045.13,539268.48,41.32
178045.13,539178.48,32.37
178045.13,539088.48,26.12
178045.13,538998.48,27.39
178045.13,538908.48,29.35
178045.13,538818.48,29.96
178045.13,538728.48,33.48
178045.13,538638.48,36.83
178045.13,538548.48,39.94
178045.13,538458.48,39.82
178045.13,538368.48,33.18
178045.13,538278.48,28.84
178045.13,538188.48,26.49
178045.13,538098.48,24.91
178045.13,538008.48,23.37
178045.13,537918.48,20.62
178045.13,537828.48,17.79
178045.13,537738.48,15.14
178045.13,537648.48,13.3
178045.13,537558.48,13.16
178045.13,537468.48,13.56
178045.13,537378.48,13.19
178045.13,537288.48,12.42
178045.13,537198.48,12.28
178045.13,537108.48,13.74
178045.13,537018.48,16.32
178045.13,536928.48,18.37
178045.13,536838.48,20.52
178045.13,536748.48,23.2
178045.13,536658.48,24.16
178045.13,536568.48,24.35
178045.13,536478.48,26.45
178045.13,536388.48,26.23
178045.13,536298.48,19.9
178045.13,536208.48,14.36
178045.13,536118.48,12.57
178045.13,536028.48,10.82
178045.13,535938.48,8.31
178045.13,535848.48,7.15
178045.13,535758.48,6.82
178045.13,535668.48,6.12
178045.13,535578.48,5
178045.13,535488.48,4.8
178045.13,535398.48,5.57
178045.13,535308.48,5.43
178045.13,535218.48,4.62
178045.13,535128.48,4.23
178045.13,535038.48,4
178045.13,534948.48,4.03
178045.13,534858.48,4.31
178045.13,534768.48,4.41
178045.13,534678.48,4.09
178045.13,534588.48,3.59
178045.13,534498.48,3.35
178045.13,534408.48,3.65
178045.13,534318.48,4.36
178045.13,534228.48,5.28
178045.13,534138.48,5.65
178045.13,534048.48,5
178045.13,533958.48,4.29
178045.13,533868.48,4.11
178045.13,533778.48,4.06
178045.13,533688.48,3.98
178045.13,533598.48,3.81
178045.13,533508.48,3.4
178045.13,533418.48,2.79
178045.13,533328.48,2.52
178045.13,533238.48,2.97
178045.13,533148.48,3.44
178045.13,533058.48,3.5
178045.13,532968.48,3.56
178045.13,532878.48,3.7
178045.13,532788.48,3.85
178045.13,532698.48,4.01
178045.13,532608.48,4.06
178045.13,532518.48,3.94
178045.13,532428.48,4.09
178045.13,532338.48,5.22
178045.13,532248.48,6.98
178045.13,532158.48,8.21
178045.13,532068.48,9.49
178045.13,531978.48,11.88
178045.13,531888.48,13.68
178045.13,531798.48,13.32
178045.13,531708.48,12.58
178045.13,531618.48,15.26
178045.13,531528.48,23.17
178045.13,531438.48,35.85
178045.13,531348.48,48.09
178045.13,531258.48,48.83
178045.13,531168.48,36.55
178045.13,531078.48,23.69
178045.13,530988.48,19.66
178045.13,530898.48,28.61
178045.13,530808.48,46.44
178045.13,530718.48,63.69
178045.13,530628.48,69.85
178045.13,530538.48,61.18
178045.13,530448.48,46.61
178045.13,530358.48,33.82
178045.13,530268.48,23.53
178045.13,530178.48,17.57
178045.13,530088.48,16.81
178045.13,529998.48,19.09
178045.13,529908.48,21.02
178045.13,529818.48,20.62
178045.13,529728.48,18.34
178045.13,529638.48,16.5
178045.13,529548.48,16.24
178045.13,529458.48,16.93
178045.13,529368.48,18.84
178045.13,529278.48,24.5
178045.13,529188.48,33.32
178045.13,529098.48,38.71
178045.13,529008.48,35.17
178045.13,528918.48,25.27
178045.13,528828.48,16.71
178045.13,528738.48,12.65
178045.13,528648.48,10.47
178045.13,528558.48,8.17
178045.13,528468.48,6.11
178045.13,528378.48,5.32
178045.13,528288.48,5.45
178045.13,528198.48,5.6
178045.13,528108.48,5.21
178045.13,528018.48,4.79
178045.13,527928.48,4.92
178045.13,527838.48,5.4
178045.13,527748.48,5.65
178045.13,527658.48,5.56
178045.13,527568.48,5.4
178045.13,527478.48,5.29
178045.13,527388.48,5.21
178045.13,527298.48,5.14
178045.13,527208.48,5.12
178045.13,527118.48,5.11
178045.13,527028.48,5.11
178045.13,526938.48,5.14
178045.13,526848.48,5.18
178045.13,526758.48,5.2
178045.13,526668.48,5.21
178045.13,526578.48,5.17
178045.13,526488.48,5.07
178045.13,526398.48,4.9
178045.13,526308.48,4.71
178045.13,526218.48,4.85
178045.13,526128.48,5.6
178045.13,526038.48,6.84
178045.13,525948.48,8.09
178045.13,525858.48,8.72
178045.13,525768.48,9.46
178045.13,525678.48,11.15
178045.13,525588.48,13.2
178045.13,525498.48,13.9
178045.13,525408.48,11.68
178045.13,525318.48,8.62
178045.13,525228.48,6.54
178045.13,525138.48,5.67
178045.13,525048.48,5.42
178045.13,524958.48,5.59
178045.13,524868.48,5.71
178045.13,524778.48,5.64
178045.13,524688.48,5.55
178045.13,524598.48,5.48
178045.13,524508.48,5.44
178045.13,524418.48,5.43
178045.13,524328.48,5.46
178045.13,524238.48,5.55
178045.13,524148.48,5.59
178045.13,524058.48,5.61
178045.13,523968.48,6.62
178045.13,523878.48,10.24
178045.13,523788.48,15.63
178045.13,523698.48,19.34
178045.13,523608.48,20.09
178045.13,523518.48,18.08
178045.13,523428.48,14.14
178045.13,523338.48,10.34
178045.13,523248.48,7.9
178045.13,523158.48,6.94
178045.13,523068.48,6.98
178045.13,522978.48,7.06
178045.13,522888.48,6.46
178045.13,522798.48,5.59
178045.13,522708.48,5.31
178045.13,522618.48,5.21
178045.13,522528.48,4.79
178045.13,522438.48,4.23
178045.13,522348.48,3.82
178045.13,522258.48,2.98
178045.13,522168.48,1.51
178045.13,522078.48,0.38
178045.13,521988.48,0.1
178045.13,521898.48,0.1
178045.13,521808.48,0.09
178045.13,521718.48,0.09
178045.13,521628.48,0.09
178045.13,521538.48,0.09
178045.13,521448.48,0.09
178045.13,521358.48,0.09
178045.13,521268.48,0.09
178045.13,521178.48,0.09
178045.13,521088.48,0.09
178045.13,520998.48,0.09
178045.13,520908.48,0.09
178045.13,520818.48,0.08
178045.13,520728.48,0.08
178045.13,520638.48,0.08
178045.13,520548.48,0.08
178045.13,520458.48,0.08
178045.13,520368.48,0.09
178045.13,520278.48,0.09
178045.13,520188.48,0.09
178045.13,520098.48,0.09
178045.13,520008.48,0.11
178045.13,519918.48,0.18
178045.13,519828.48,0.28
178045.13,519738.48,0.36
178045.13,519648.48,0.39
178045.13,519558.48,0.43
178045.13,519468.48,0.58
178045.13,519378.48,0.76
178045.13,519288.48,0.83
178045.13,519198.48,0.83
178045.13,519108.48,0.9
178045.13,519018.48,1.05
178045.13,518928.48,1.2
178045.13,518838.48,1.33
178045.13,518748.48,1.44
178045.13,518658.48,1.51
178045.13,518568.48,1.5
178045.13,518478.48,1.47
178045.13,518388.48,1.63
178045.13,518298.48,1.96
178045.13,518208.48,2.22
178045.13,518118.48,2.36
178045.13,518028.48,2.44
178045.13,517938.48,2.46
178045.13,517848.48,2.41
178045.13,517758.48,2.29
178045.13,517668.48,2.14
178045.13,517578.48,2.15
178045.13,517488.48,2.42
178045.13,517398.48,2.97
178045.13,517308.48,4.63
178045.13,517218.48,8.52
178045.13,517128.48,13.08
178045.13,517038.48,14.94
178045.13,516948.48,12.9
178045.13,516858.48,8.29
178045.13,516768.48,4.78
178135.13,544488.48,11.06
178135.13,544398.48,11.24
178135.13,544308.48,11.5
178135.13,544218.48,11.92
178135.13,544128.48,12.23
178135.13,544038.48,12.26
178135.13,543948.48,12.24
178135.13,543858.48,12.29
178135.13,543768.48,12.3
178135.13,543678.48,12.18
178135.13,543588.48,12.04
178135.13,543498.48,12.22
178135.13,543408.48,12.66
178135.13,543318.48,13.34
178135.13,543228.48,14.71
178135.13,543138.48,16.75
178135.13,543048.48,18.4
178135.13,542958.48,18.87
